iter	Passed	Remaining
596	35250	23795
597	35305	23734
598	35366	23676
599	35421	23614
600	35485	23558
601	35544	23499
602	35605	23441
603	35662	23381
604	35722	23323
605	35781	23264
606	35846	23208
607	35899	23145
608	35964	23090
609	36033	23037
610	36083	22972
611	36138	22911
612	36193	22849
613	36248	22787
614	36299	22724
615	36353	22661
616	36407	22600
617	36462	22538
618	36524	22481
619	36588	22425
620	36644	22364
621	36708	22308
622	36771	22251
623	36826	22190
624	36886	22131
625	36941	22070
626	37009	22016
627	37067	21957
628	37129	21899
629	37188	21840
630	37248	21782
631	37301	21719
632	37356	21658
633	37410	21596
634	37464	21534
635	37522	21475
636	37581	21416
637	37634	21353
638	37701	21299
639	37751	21235
640	37802	21171
641	37854	21108
642	37913	21050
643	37973	20991
644	38032	20932
645	38088	20872
646	38144	20811
647	38199	20750
648	38253	20688
649	38315	20631
650	38368	20569
651	38419	20506
652	38478	20447
653	38540	20389
654	38598	20330
655	38657	20271
656	38717	20213
657	38769	20150
658	38825	20090
659	38869	20023
660	38928	19964
661	38985	19905
662	39046	19847
663	39104	19787
664	39157	19726
665	39213	19665
666	39268	19604
667	39316	19540
668	39367	19478
669	39425	19418
670	39482	19358
671	39544	19301
672	39605	19243
673	39658	19182
674	39718	19123
675	39775	19064
676	39841	19008
677	39893	18946
678	39959	18890
679	40020	18833
680	40074	18771
681	40136	18714
682	40191	18654
683	40247	18593
684	40303	18533
685	40358	18472
686	40414	18412
687	40466	18351
688	40524	18291
689	40594	18237
690	40653	18179
691	40714	18121
692	40781	18066
693	40848	18011
694	40913	17954
695	40970	17894
696	41041	17841
697	41125	17793
698	41202	17742
699	41272	17688
700	41329	17628
701	41397	17573
702	41463	17517
703	41527	17460
704	41587	17401
705	41660	17348
706	41722	17290
707	41790	17235
708	41849	17176
709	41901	17114
710	41960	17055
711	42016	16995
712	42080	16938
713	42147	16882
714	42200	16821
715	42264	16764
716	42318	16703
717	42377	16644
718	42432	16583
719	42509	16531
720	42558	16468
721	42618	16409
722	42674	16349
723	42741	16293
724	42802	16235
725	42878	16182
726	42943	16125
727	43001	16066
728	43066	16009
729	43119	15948
730	43178	15889
731	43244	15832
732	43290	15768
733	43345	15708
734	43401	15648
735	43457	15587
736	43510	15526
737	43569	15467
738	43624	15407
739	43683	15348
740	43745	15290
741	43797	15228
742	43865	15172
743	43917	15111
744	43967	15049
745	44026	14990
746	44088	14932
747	44155	14875
748	44210	14815
749	44272	14757
750	44337	14700
751	44401	14643
752	44467	14586
753	44524	14526
754	44582	14467
755	44649	14410
756	44706	14350
757	44773	14294
758	44845	14239
759	44906	14181
760	44968	14122
761	45027	14063
762	45090	14005
763	45149	13946
764	45225	13892
765	45281	13832
766	45339	13773
